poi_type,aspect,mentions,avg_sentiment,positive,negative,neutral
"supermarket,grocery_or_supermarket,store,food",fairprice,39,0.14,20,0,19
"supermarket,grocery_or_supermarket,store,food",’ s,36,0.19,24,3,9
"supermarket,grocery_or_supermarket,store,food",singapore,15,0.16,9,4,2
"supermarket,grocery_or_supermarket,store,food",’ m,12,0.0,3,3,6
"supermarket,grocery_or_supermarket,store,food",cold storage,11,-0.08,1,5,5
"supermarket,grocery_or_supermarket,store,food",staff,10,0.14,6,1,3
"supermarket,grocery_or_supermarket,store,food",customer service,10,0.17,7,0,3
"supermarket,grocery_or_supermarket,store,food",don ’ t,9,0.03,3,1,5
"supermarket,grocery_or_supermarket,store,food",’ t,9,0.04,3,2,4
"supermarket,grocery_or_supermarket,store,food",thank,8,0.26,6,0,2
"primary_school,secondary_school,school",cher,12,0.41,12,0,0
"primary_school,secondary_school,school",stall,9,0.3,9,0,0
"primary_school,secondary_school,school",’ s,9,0.26,6,0,3
"primary_school,secondary_school,school",pathlight,8,0.13,2,0,6
"primary_school,secondary_school,school",p5,5,0.29,5,0,0
"primary_school,secondary_school,school",primary school,5,0.35,5,0,0
"primary_school,secondary_school,school",good school,5,0.55,5,0,0
"primary_school,secondary_school,school",malay,4,0.33,4,0,0
"primary_school,secondary_school,school",p6,4,0.26,4,0,0
"primary_school,secondary_school,school",ang mo kio,3,0.32,3,0,0
"bar,lodging",beach road,3,0.4,3,0,0
"bar,lodging",parkroyal,2,0.4,2,0,0
"bar,lodging",may,2,0.4,2,0,0
"bar,lodging",lattes,2,0.4,2,0,0
"bar,lodging",jasmine,2,0.37,2,0,0
"bar,lodging",🤎 club,1,0.4,1,0,0
"bar,lodging",lobby level,1,0.4,1,0,0
"bar,lodging",singapore,1,0.4,1,0,0
"bar,lodging",delightful experience,1,0.4,1,0,0
"bar,lodging",vibrant ambience,1,0.4,1,0,0
"dentist,doctor,health",thank,62,0.31,58,0,4
"dentist,doctor,health",highly,45,0.31,43,0,2
"dentist,doctor,health",’ s,44,0.2,34,1,9
"dentist,doctor,health",dental clinic,34,0.22,25,2,7
"dentist,doctor,health",’ ve,30,0.26,24,0,6
"dentist,doctor,health",great experience,24,0.42,24,0,0
"dentist,doctor,health",dental care,22,0.33,21,0,1
"dentist,doctor,health",’ m,22,0.27,18,0,4
"dentist,doctor,health",will,15,0.2,10,1,4
"dentist,doctor,health",whole process,15,0.28,15,0,0
"clothing_store,store",’ s,15,0.24,11,1,3
"clothing_store,store",thank,13,0.4,12,0,1
"clothing_store,store",customer service,11,0.08,3,1,7
"clothing_store,store",michelle,9,0.45,9,0,0
"clothing_store,store",levi,8,0.25,5,0,3
"clothing_store,store",may,6,0.36,6,0,0
"clothing_store,store",angie,6,0.42,6,0,0
"clothing_store,store",really,5,0.22,3,0,2
"clothing_store,store",singapore,5,0.23,3,0,2
"clothing_store,store",bought,5,0.08,2,1,2
"cafe,electronics_store,home_goods_store,food,store",zeppelin,7,0.3,7,0,0
"cafe,electronics_store,home_goods_store,food,store",sim lim,4,0.3,4,0,0
"cafe,electronics_store,home_goods_store,food,store",love,2,0.39,2,0,0
"cafe,electronics_store,home_goods_store,food,store",thank,2,0.39,2,0,0
"cafe,electronics_store,home_goods_store,food,store",upon,1,0.32,1,0,0
"cafe,electronics_store,home_goods_store,food,store",cozy ambiance,1,0.32,1,0,0
"cafe,electronics_store,home_goods_store,food,store",unique decoration,1,0.32,1,0,0
"cafe,electronics_store,home_goods_store,food,store",delightful addition,1,0.32,1,0,0
"cafe,electronics_store,home_goods_store,food,store",service staff,1,0.32,1,0,0
"cafe,electronics_store,home_goods_store,food,store",service overall,1,0.32,1,0,0
"restaurant,cafe,food,store",kallang wave,6,0.22,6,0,0
"restaurant,cafe,food,store",mall location,3,0.22,3,0,0
"restaurant,cafe,food,store",chicken rice,3,-0.07,0,1,2
"restaurant,cafe,food,store",’ s,3,0.15,1,0,2
"restaurant,cafe,food,store",kitty,2,0.22,2,0,0
"restaurant,cafe,food,store",fei zhu lok lok,2,0.22,2,0,0
"restaurant,cafe,food,store",lok lok,2,0.1,1,0,1
"restaurant,cafe,food,store",overall,2,0.35,2,0,0
"restaurant,cafe,food,store",ordered,2,0.04,0,0,2
"restaurant,cafe,food,store",roast duck,2,0.09,0,0,2
car_wash,* *,9,0.11,9,0,0
car_wash,’ re,3,0.09,2,0,1
car_wash,’ m,3,0.29,3,0,0
car_wash,johor bahru,3,0.19,3,0,0
car_wash,highly,3,0.34,3,0,0
car_wash,mpv,2,0.11,2,0,0
car_wash,rm25,2,0.13,2,0,0
car_wash,car,2,0.35,2,0,0
car_wash,rm20,2,0.11,1,0,1
car_wash,great service,2,0.46,2,0,0
"tourist_attraction,bar,restaurant,food",ola,5,0.44,5,0,0
"tourist_attraction,bar,restaurant,food",beach club,3,0.45,3,0,0
"tourist_attraction,bar,restaurant,food",rachel,2,0.41,2,0,0
"tourist_attraction,bar,restaurant,food",singapore,2,0.42,2,0,0
"tourist_attraction,bar,restaurant,food",great time,1,0.52,1,0,0
"tourist_attraction,bar,restaurant,food",amazing great facility,1,0.52,1,0,0
"tourist_attraction,bar,restaurant,food",different kinds,1,0.52,1,0,0
"tourist_attraction,bar,restaurant,food",beach chairs,1,0.52,1,0,0
"tourist_attraction,bar,restaurant,food",lounge chairs,1,0.52,1,0,0
"tourist_attraction,bar,restaurant,food",lounge sofas,1,0.52,1,0,0
beauty_salon,thank,12,0.32,11,0,1
beauty_salon,’ s,11,0.19,8,2,1
beauty_salon,highly,10,0.24,9,0,1
beauty_salon,kelly,8,0.18,7,1,0
beauty_salon,’ ve,6,0.26,5,0,1
beauty_salon,vanessa,6,0.34,6,0,0
beauty_salon,jessie,6,0.38,6,0,0
beauty_salon,’ t,6,0.21,4,1,1
beauty_salon,facial treatment,5,0.35,5,0,0
beauty_salon,overall,5,0.21,4,0,1
"hospital,physiotherapist,doctor,health",mapletree,2,-0.07,0,0,2
"hospital,physiotherapist,doctor,health",business city,2,-0.07,0,0,2
"hospital,physiotherapist,doctor,health",fusionopolis,2,-0.07,0,0,2
"hospital,physiotherapist,doctor,health",was,2,-0.21,0,1,1
"hospital,physiotherapist,doctor,health",clinic,2,-0.07,0,0,2
"hospital,physiotherapist,doctor,health",not,2,-0.07,0,0,2
"hospital,physiotherapist,doctor,health",consultation room,2,-0.23,0,2,0
"hospital,physiotherapist,doctor,health",staff,1,-0.07,0,0,1
"hospital,physiotherapist,doctor,health",opening,1,-0.07,0,0,1
"hospital,physiotherapist,doctor,health",may,1,-0.07,0,0,1
locksmith,terence,2,0.31,2,0,0
locksmith,highly,2,0.17,1,0,1
locksmith,mr. robert,2,0.22,2,0,0
locksmith,friendly boss,1,0.3,1,0,0
locksmith,whatsapp,1,0.3,1,0,0
locksmith,went,1,0.3,1,0,0
locksmith,yishun 😠,1,0.3,1,0,0
locksmith,duplicate,1,0.3,1,0,0
locksmith,keys works,1,0.3,1,0,0
locksmith,quick,1,0.31,1,0,0
bowling_alley,’ s,5,0.23,4,0,1
bowling_alley,emily,4,-0.14,0,4,0
bowling_alley,gerald,4,-0.14,0,4,0
bowling_alley,poor attitudes,3,-0.14,0,3,0
bowling_alley,well,3,0.31,2,0,1
bowling_alley,’ re,3,0.09,2,0,1
bowling_alley,great place,2,0.53,2,0,0
bowling_alley,whether,2,0.39,2,0,0
bowling_alley,unfair pricing,2,-0.14,0,2,0
bowling_alley,corporate rate,2,-0.14,0,2,0
store,’ s,23,0.13,13,5,5
store,highly,17,0.37,15,0,2
store,thank,16,0.36,15,1,0
store,will,15,0.22,11,3,1
store,customer service,13,0.22,9,2,2
store,thanks,11,0.39,10,0,1
store,was,11,0.25,9,0,2
store,samsung,10,-0.0,3,7,0
store,nice,10,0.51,10,0,0
store,singapore,9,0.15,6,1,2
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",nice,2,0.59,2,0,0
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",’ s,2,0.33,2,0,0
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",entrance door clearer,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",entrance door,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",entrance,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",small door,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",neat store,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",accept,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",cashless payment,1,0.05,0,0,1
"grocery_or_supermarket,convenience_store,liquor_store,home_goods_store,food,store",good selection,1,0.65,1,0,0
"meal_takeaway,meal_delivery,restaurant,food,store",pizza,4,0.24,3,0,1
"meal_takeaway,meal_delivery,restaurant,food,store",’ s,4,0.34,3,0,1
"meal_takeaway,meal_delivery,restaurant,food,store",pizza hut,4,0.19,2,0,2
"meal_takeaway,meal_delivery,restaurant,food,store",singapore,3,0.48,3,0,0
"meal_takeaway,meal_delivery,restaurant,food,store",’ m,2,0.17,1,0,1
"meal_takeaway,meal_delivery,restaurant,food,store",enjoyed,2,0.45,2,0,0
"meal_takeaway,meal_delivery,restaurant,food,store",bismarck,2,0.37,2,0,0
"meal_takeaway,meal_delivery,restaurant,food,store",ordered,2,-0.14,0,1,1
"meal_takeaway,meal_delivery,restaurant,food,store",current,2,-0.03,0,0,2
"meal_takeaway,meal_delivery,restaurant,food,store",pic,2,0.03,0,0,2
"primary_school,school",primary school,32,0.36,28,0,4
"primary_school,school",’ s,32,0.27,30,2,0
"primary_school,school",psle,21,0.22,15,1,5
"primary_school,school",p6,20,0.14,11,1,8
"primary_school,school",good school,17,0.32,16,0,1
"primary_school,school",overall,16,0.24,12,0,4
"primary_school,school",primary,15,0.25,14,0,1
"primary_school,school",math,14,0.24,7,0,7
"primary_school,school",’ m,14,0.24,11,0,3
"primary_school,school",canteen food,14,0.16,9,2,3
"department_store,shopping_mall,store",christmas,6,0.24,6,0,0
"department_store,shopping_mall,store",tangs,4,0.31,4,0,0
"department_store,shopping_mall,store",maatoori,4,0.48,4,0,0
"department_store,shopping_mall,store",orchard,3,0.32,3,0,0
"department_store,shopping_mall,store",singapore,3,0.19,3,0,0
"department_store,shopping_mall,store",singaporean,2,0.23,2,0,0
"department_store,shopping_mall,store",december,2,0.38,2,0,0
"department_store,shopping_mall,store",’ t,2,0.38,2,0,0
"department_store,shopping_mall,store",department store,2,0.16,2,0,0
"department_store,shopping_mall,store",absolutely,1,0.16,1,0,0
"university,school",singapore,6,0.33,6,0,0
"university,school",jc,5,0.34,5,0,0
"university,school",thank,3,0.31,3,0,0
"university,school",ip,3,0.1,1,0,2
"university,school",’ t,3,0.06,0,0,3
"university,school",junior college,2,0.39,2,0,0
"university,school",acjc,2,0.3,2,0,0
"university,school",master 's,2,0.36,2,0,0
"university,school",singapore bible,2,0.24,2,0,0
"university,school",lecturers,2,0.53,2,0,0
health,’ s,53,0.18,35,4,14
health,thank,44,0.3,39,0,5
health,highly,33,0.3,31,0,2
health,’ m,21,0.2,12,0,9
health,went,19,0.11,11,5,3
health,’ ve,18,0.18,11,0,7
health,dr,18,0.06,9,5,4
health,was,16,0.1,7,2,7
health,paul,16,0.24,16,0,0
health,dr low,15,0.16,14,0,1
stadium,nice,6,0.44,6,0,0
stadium,’ s,5,0.28,4,0,1
stadium,singapore,4,0.26,4,0,0
stadium,good place,4,0.62,4,0,0
stadium,disney,3,0.58,3,0,0
stadium,activesg,3,0.19,3,0,0
stadium,level,3,0.53,3,0,0
stadium,’ t,2,0.34,2,0,0
stadium,power points,2,0.14,2,0,0
stadium,apr-2025,2,0.14,2,0,0
"gym,school,health,restaurant,food,store",enjoyable experience,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",safra tampines,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",location run,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",safra running,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",club members,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",bedok reservoir,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",theatrette,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",ample,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",carpark space,1,0.36,1,0,0
"gym,school,health,restaurant,food,store",thank,1,0.36,1,0,0
"art_gallery,store",peranakan,12,0.34,12,0,0
"art_gallery,store",thank,9,0.33,8,0,1
"art_gallery,store",highly,6,0.35,6,0,0
"art_gallery,store",’ s,5,0.23,5,0,0
"art_gallery,store",framelines,5,0.32,5,0,0
"art_gallery,store",ron,5,0.31,5,0,0
"art_gallery,store",boon,4,0.11,3,1,0
"art_gallery,store",talent,4,0.24,4,0,0
"art_gallery,store",art pieces,4,0.42,4,0,0
"art_gallery,store",magnum,3,0.33,3,0,0
"grocery_or_supermarket,convenience_store,store,food",joo chiat,4,0.47,4,0,0
"grocery_or_supermarket,convenience_store,store,food",kuriya,2,0.2,1,0,1
"grocery_or_supermarket,convenience_store,store,food",waterway,2,0.2,1,0,1
"grocery_or_supermarket,convenience_store,store,food",al barakah,2,0.5,2,0,0
"grocery_or_supermarket,convenience_store,store,food",frozen food,2,0.5,2,0,0
"grocery_or_supermarket,convenience_store,store,food",’ re,2,0.5,2,0,0
"grocery_or_supermarket,convenience_store,store,food",curry udon,2,0.03,0,0,2
"grocery_or_supermarket,convenience_store,store,food",n't bother,2,0.03,0,0,2
"grocery_or_supermarket,convenience_store,store,food",favourite eateries,1,0.38,1,0,0
"grocery_or_supermarket,convenience_store,store,food",good prices,1,0.38,1,0,0
university,singapore,26,0.27,20,0,6
university,’ s,21,0.34,19,0,2
university,camford,12,0.33,12,0,0
university,ntu,11,0.2,11,0,0
university,thank,11,0.38,11,0,0
university,joline,9,0.14,9,0,0
university,overall,9,0.14,3,0,6
university,nus,8,0.31,7,0,1
university,nice,8,0.37,8,0,0
university,icastec,7,0.45,7,0,0
"meal_delivery,meal_takeaway,restaurant,food",’ s,41,0.17,29,3,9
"meal_delivery,meal_takeaway,restaurant,food",ordered,30,0.07,15,7,8
"meal_delivery,meal_takeaway,restaurant,food",will,19,0.23,15,3,1
"meal_delivery,meal_takeaway,restaurant,food",guzman,14,0.22,9,1,4
"meal_delivery,meal_takeaway,restaurant,food",* *,14,0.09,0,0,14
"meal_delivery,meal_takeaway,restaurant,food",’ t,13,0.02,6,2,5
"meal_delivery,meal_takeaway,restaurant,food",domino,13,-0.02,2,4,7
"meal_delivery,meal_takeaway,restaurant,food",pizza,12,-0.02,4,4,4
"meal_delivery,meal_takeaway,restaurant,food",overall,12,0.15,8,1,3
"meal_delivery,meal_takeaway,restaurant,food",highly,12,0.33,11,0,1
"cafe,grocery_or_supermarket,food,store",space @,5,0.4,5,0,0
"cafe,grocery_or_supermarket,food,store",kovan,5,0.4,5,0,0
"cafe,grocery_or_supermarket,food,store",will,2,0.71,2,0,0
"cafe,grocery_or_supermarket,food,store",thank,2,0.28,2,0,0
"cafe,grocery_or_supermarket,food,store",bought,2,0.04,1,0,1
"cafe,grocery_or_supermarket,food,store",old tree,2,-0.07,0,0,2
"cafe,grocery_or_supermarket,food,store",msw,2,-0.07,0,0,2
"cafe,grocery_or_supermarket,food,store",quality,1,1.0,1,0,0
"cafe,grocery_or_supermarket,food,store",delivery 👍🏻👍🏻👍🏻,1,1.0,1,0,0
"cafe,grocery_or_supermarket,food,store",bought xo,1,1.0,1,0,0
"mosque,tourist_attraction,museum,place_of_worship",singapore,5,0.23,2,0,3
"mosque,tourist_attraction,museum,place_of_worship",nagore dargah,2,0.09,0,0,2
"mosque,tourist_attraction,museum,place_of_worship",’ s,2,0.09,0,0,2
"mosque,tourist_attraction,museum,place_of_worship",muslim,2,0.09,0,0,2
"mosque,tourist_attraction,museum,place_of_worship",indian people,2,0.58,2,0,0
"mosque,tourist_attraction,museum,place_of_worship",beautiful,1,0.28,1,0,0
"mosque,tourist_attraction,museum,place_of_worship",muslims,1,0.28,1,0,0
"mosque,tourist_attraction,museum,place_of_worship",religious monument,1,0.28,1,0,0
"mosque,tourist_attraction,museum,place_of_worship",informative experience,1,0.09,0,0,1
"mosque,tourist_attraction,museum,place_of_worship",islamic,1,0.09,0,0,1
"place_of_worship,tourist_attraction",god / deity,3,0.08,0,0,3
"place_of_worship,tourist_attraction",bodhisattva,3,0.08,0,0,3
"place_of_worship,tourist_attraction",amitabha buddha,2,0.29,1,0,1
"place_of_worship,tourist_attraction",teacher,2,0.08,0,0,2
"place_of_worship,tourist_attraction",ksitigarbha,2,0.08,0,0,2
"place_of_worship,tourist_attraction",sentient beings,2,0.08,0,0,2
"place_of_worship,tourist_attraction",free,1,0.08,0,0,1
"place_of_worship,tourist_attraction",buddhist centre,1,0.08,0,0,1
"place_of_worship,tourist_attraction",aljunied mrt,1,0.08,0,0,1
"place_of_worship,tourist_attraction",’ m,1,0.08,0,0,1
"tourist_attraction,church,place_of_worship",singapore,10,0.16,9,0,1
"tourist_attraction,church,place_of_worship",god,9,0.43,8,0,1
"tourist_attraction,church,place_of_worship",mass,8,0.28,8,0,0
"tourist_attraction,church,place_of_worship",’ s,6,0.3,6,0,0
"tourist_attraction,church,place_of_worship",joseph,5,0.2,5,0,0
"tourist_attraction,church,place_of_worship",catholic church,4,0.19,4,0,0
"tourist_attraction,church,place_of_worship",portuguese mission,4,0.15,4,0,0
"tourist_attraction,church,place_of_worship",george,4,0.09,3,0,1
"tourist_attraction,church,place_of_worship",english,4,0.25,4,0,0
"tourist_attraction,church,place_of_worship",whether,3,0.21,3,0,0
"department_store,store",tangs,4,0.27,3,0,1
"department_store,store",dennis,2,0.42,2,0,0
"department_store,store",tang plaza,2,-0.05,0,0,2
"department_store,store",went,1,0.42,1,0,0
"department_store,store",don ’ t need,1,0.42,1,0,0
"department_store,store",was,1,0.42,1,0,0
"department_store,store",accessories section,1,0.42,1,0,0
"department_store,store",staff tan chin yean,1,0.42,1,0,0
"department_store,store",excellent service,1,0.42,1,0,0
"department_store,store",noor ain hafizah,1,0.42,1,0,0
"night_club,bar,restaurant,food",highly,9,0.39,9,0,0
"night_club,bar,restaurant,food",nice,8,0.42,8,0,0
"night_club,bar,restaurant,food",singapore,7,0.17,5,0,2
"night_club,bar,restaurant,food",will,6,0.4,5,0,1
"night_club,bar,restaurant,food",’ s,5,0.33,5,0,0
"night_club,bar,restaurant,food",love,5,0.33,5,0,0
"night_club,bar,restaurant,food",overall,4,0.28,4,0,0
"night_club,bar,restaurant,food",staff,4,0.33,4,0,0
"night_club,bar,restaurant,food",good place,4,0.51,4,0,0
"night_club,bar,restaurant,food",gold8,4,0.34,4,0,0
"cafe,bakery,store,restaurant,food",paul,3,0.16,2,0,1
"cafe,bakery,store,restaurant,food",cny eve,2,0.08,0,0,2
"cafe,bakery,store,restaurant,food",didn ’ t,2,-0.05,0,0,2
"cafe,bakery,store,restaurant,food",truly,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",curry puffs,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",post lunch snack,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",way home,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",manned,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",old couple,1,0.36,1,0,0
"cafe,bakery,store,restaurant,food",hdb,1,0.36,1,0,0
"grocery_or_supermarket,restaurant,store,food",’ s,2,0.15,2,0,0
"grocery_or_supermarket,restaurant,store,food",right texture,2,0.27,2,0,0
"grocery_or_supermarket,restaurant,store,food",bbq buffet,2,0.28,2,0,0
"grocery_or_supermarket,restaurant,store,food",maki sushi rolls,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",eight-piece maki,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",soft shell,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",sushi rice,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",ebi fry maki,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",savoury mixture,1,0.12,1,0,0
"grocery_or_supermarket,restaurant,store,food",sesame seeds,1,0.12,1,0,0
"museum,tourist_attraction",singapore,18,0.34,17,0,1
"museum,tourist_attraction",peranakan,9,0.27,9,0,0
"museum,tourist_attraction",alvin,8,0.38,8,0,0
"museum,tourist_attraction",sgh,7,0.2,4,0,3
"museum,tourist_attraction",mas,5,0.23,4,0,1
"museum,tourist_attraction",’ s,5,0.3,5,0,0
"museum,tourist_attraction",ar,3,0.42,3,0,0
"museum,tourist_attraction",intan,3,0.24,3,0,0
"museum,tourist_attraction",interactive exhibits,2,0.25,2,0,0
"museum,tourist_attraction",nice,2,0.44,2,0,0
"meal_delivery,restaurant,food",’ s,9,0.18,6,0,3
"meal_delivery,restaurant,food",* *,9,0.47,9,0,0
"meal_delivery,restaurant,food",will,8,0.31,7,0,1
"meal_delivery,restaurant,food",penang,8,0.26,4,0,4
"meal_delivery,restaurant,food",grain,8,0.36,7,0,1
"meal_delivery,restaurant,food",came,7,0.28,6,0,1
"meal_delivery,restaurant,food",highly,6,0.32,6,0,0
"meal_delivery,restaurant,food",overall,5,0.15,3,0,2
"meal_delivery,restaurant,food",ordered,5,0.15,2,1,2
"meal_delivery,restaurant,food",taste,5,0.32,4,0,1
"store,restaurant,food",soup,5,0.18,4,0,1
"store,restaurant,food",ordered,4,0.1,2,1,1
"store,restaurant,food",prawn,4,0.17,4,0,0
"store,restaurant,food",overall,4,-0.03,1,2,1
"store,restaurant,food",noodle,3,0.18,2,0,1
"store,restaurant,food",pau,3,0.28,3,0,0
"store,restaurant,food",will,3,0.32,2,0,1
"store,restaurant,food",mee pok,3,0.15,3,0,0
"store,restaurant,food",’ re,2,0.09,1,0,1
"store,restaurant,food",ipoh,2,0.08,0,0,2
"cafe,bar,restaurant,food",will,10,0.32,10,0,0
"cafe,bar,restaurant,food",’ s,9,0.38,9,0,0
"cafe,bar,restaurant,food",singapore,6,0.32,6,0,0
"cafe,bar,restaurant,food",freebird,6,0.18,6,0,0
"cafe,bar,restaurant,food",ordered,6,0.23,5,0,1
"cafe,bar,restaurant,food",’ ve,5,0.31,5,0,0
"cafe,bar,restaurant,food",’ t,5,0.24,5,0,0
"cafe,bar,restaurant,food",nice,4,0.37,4,0,0
"cafe,bar,restaurant,food",staff,4,0.36,4,0,0
"cafe,bar,restaurant,food",got,4,0.39,4,0,0
"travel_agency,lodging",netflix,2,0.2,2,0,0
"travel_agency,lodging",bugis,2,0.08,1,0,1
"travel_agency,lodging",budget hotel,1,0.37,1,0,0
"travel_agency,lodging",bugis mrt,1,0.37,1,0,0
"travel_agency,lodging",station 🚉,1,0.37,1,0,0
"travel_agency,lodging",lavender mrt,1,0.37,1,0,0
"travel_agency,lodging",budget hotels,1,0.37,1,0,0
"travel_agency,lodging",lots,1,0.37,1,0,0
"travel_agency,lodging",bridge,1,0.37,1,0,0
"travel_agency,lodging",junction centre,1,0.31,1,0,0
aquarium,kelvin,10,0.33,10,0,0
aquarium,lorenzo,8,0.3,8,0,0
aquarium,roy,6,0.37,6,0,0
aquarium,singapore,6,0.28,5,0,1
aquarium,new tank,6,0.29,6,0,0
aquarium,betta,5,0.42,5,0,0
aquarium,’ re,5,0.3,5,0,0
aquarium,went,4,0.28,4,0,0
aquarium,highly,4,0.41,4,0,0
aquarium,’ s,4,0.37,4,0,0
"gym,health",highly,14,0.32,13,0,1
"gym,health",’ s,13,0.27,13,0,0
"gym,health",pt,9,0.13,6,0,3
"gym,health",herzy,9,0.37,9,0,0
"gym,health",bft dairy,8,0.24,8,0,0
"gym,health",artemis gymnastics,7,0.5,7,0,0
"gym,health",fitness journey,6,0.33,6,0,0
"gym,health",’ ve,6,0.29,6,0,0
"gym,health",ohmsantih,5,0.21,5,0,0
"gym,health",great place,5,0.29,4,0,1
"meal_delivery,restaurant,food,store",dough workz,3,0.43,3,0,0
"meal_delivery,restaurant,food,store",pastamania,2,0.05,0,0,2
"meal_delivery,restaurant,food,store",tampines,2,0.05,0,0,2
"meal_delivery,restaurant,food,store",ordered,2,0.27,2,0,0
"meal_delivery,restaurant,food,store",rina,2,0.34,2,0,0
"meal_delivery,restaurant,food,store",fuss,1,0.4,1,0,0
"meal_delivery,restaurant,food,store",free service,1,0.4,1,0,0
"meal_delivery,restaurant,food,store",prices,1,0.4,1,0,0
"meal_delivery,restaurant,food,store",convenient spot,1,0.05,0,0,1
"meal_delivery,restaurant,food,store",affordable meal,1,0.05,0,0,1
car_repair,highly,14,0.26,13,1,0
car_repair,obu,10,0.27,10,0,0
car_repair,adel,8,0.22,8,0,0
car_repair,’ s,7,0.15,6,1,0
car_repair,joyce,7,0.31,7,0,0
car_repair,thank,6,0.26,6,0,0
car_repair,went,5,0.15,2,0,3
car_repair,engine oil,5,0.35,5,0,0
car_repair,mechanic,5,0.32,4,0,1
car_repair,jason,5,0.16,3,0,2
"meal_takeaway,restaurant,food,store",ordered,6,0.27,6,0,0
"meal_takeaway,restaurant,food,store",’ s,6,0.09,3,1,2
"meal_takeaway,restaurant,food,store",singapore,5,0.25,5,0,0
"meal_takeaway,restaurant,food,store",foodline.sg,5,0.29,5,0,0
"meal_takeaway,restaurant,food,store",mister,4,0.23,4,0,0
"meal_takeaway,restaurant,food,store",} foodline,4,0.29,4,0,0
"meal_takeaway,restaurant,food,store",mr bean,4,0.03,0,0,4
"meal_takeaway,restaurant,food,store",suntec,4,0.17,2,0,2
"meal_takeaway,restaurant,food,store",’ t,4,0.1,2,0,2
"meal_takeaway,restaurant,food,store",robert catering,4,0.39,4,0,0
"spa,doctor,health",dr sim,3,0.32,3,0,0
"spa,doctor,health",sim,3,0.47,3,0,0
"spa,doctor,health",aesthetic,2,0.32,2,0,0
"spa,doctor,health",will,2,0.32,2,0,0
"spa,doctor,health",fantastic,1,0.37,1,0,0
"spa,doctor,health",aesthetics,1,0.37,1,0,0
"spa,doctor,health",laser session,1,0.41,1,0,0
"spa,doctor,health",age spots,1,0.41,1,0,0
"spa,doctor,health",friendly easy manner,1,0.41,1,0,0
"spa,doctor,health",highly,1,0.41,1,0,0
"meal_delivery,meal_takeaway,restaurant,food,store",pizza hut,8,0.17,5,1,2
"meal_delivery,meal_takeaway,restaurant,food,store",’ s,7,0.31,5,0,2
"meal_delivery,meal_takeaway,restaurant,food,store",highly,5,0.36,5,0,0
"meal_delivery,meal_takeaway,restaurant,food,store",will,5,0.31,4,1,0
"meal_delivery,meal_takeaway,restaurant,food,store",belle,4,0.44,4,0,0
"meal_delivery,meal_takeaway,restaurant,food,store",singapore,4,0.59,4,0,0
"meal_delivery,meal_takeaway,restaurant,food,store",cugini,4,0.25,3,0,1
"meal_delivery,meal_takeaway,restaurant,food,store",’ ve,3,0.16,2,1,0
"meal_delivery,meal_takeaway,restaurant,food,store",overall,3,0.23,2,0,1
"meal_delivery,meal_takeaway,restaurant,food,store",staff,3,0.25,3,0,0
"hardware_store,home_goods_store,store",mr diy,2,0.2,1,0,1
"hardware_store,home_goods_store,store",ledang,1,0.37,1,0,0
"hardware_store,home_goods_store,store",parking,1,0.37,1,0,0
"hardware_store,home_goods_store,store",staff,1,0.37,1,0,0
"hardware_store,home_goods_store,store",easy,1,0.43,1,0,0
"hardware_store,home_goods_store,store",excellent,1,1.0,1,0,0
"hardware_store,home_goods_store,store",im,1,0.13,1,0,0
"hardware_store,home_goods_store,store",hotwheels buyer,1,0.13,1,0,0
"hardware_store,home_goods_store,store",“ dont bother,1,0.13,1,0,0
"hardware_store,home_goods_store,store",fair customers experience,1,0.13,1,0,0
